wavelength,ULTRABLUE,BLUE,GREEN,RED,NIR,CIRRUS,SWIR1,SWIR2
0.771,0.00E+00,0,0,0,0,0,0,0
0.772,0.00E+00,0,0,0,0,0,0,0
0.773,0.00E+00,0,0,0,0,0,0,0
0.774,0.00E+00,0,0,0,0,0,0,0
0.775,0.00E+00,0,0,0,0,0,0,0
0.776,0.00E+00,0,0,0,0,0,0,0
0.777,0.00E+00,0,0,0,0,0,0,0
0.778,0.00E+00,0,0,0,0,0,0,0
0.779,0.00E+00,0,0,0,0,0,0,0
0.78,0.00E+00,0,0,0,0,0,0,0
0.781,0.00E+00,0,0,0,0,0,0,0
0.782,0.00E+00,0,0,0,0,0,0,0
0.783,0.00E+00,0,0,0,0,0,0,0
0.784,0.00E+00,0,0,0,0,0,0,0
0.785,0.00E+00,0,0,0,0,0,0,0
0.786,0.00E+00,0,0,0,0,0,0,0
0.787,0.00E+00,0,0,0,0,0,0,0
0.788,0.00E+00,0,0,0,0,0,0,0
0.789,0.00E+00,0,0,0,0,0,0,0
0.79,0.00E+00,0,0,0,0,0,0,0
0.791,0.00E+00,0,0,0,0,0,0,0
0.792,0.00E+00,0,0,0,0,0,0,0
0.793,0.00E+00,0,0,0,0,0,0,0
0.794,0.00E+00,0,0,0,0,0,0,0
0.795,0.00E+00,0,0,0,0,0,0,0
0.796,0.00E+00,0,0,0,0,0,0,0
0.797,0.00E+00,0,0,0,0,0,0,0
0.798,0.00E+00,0,0,0,0,0,0,0
0.799,0.00E+00,0,0,0,0,0,0,0
0.8,0.00E+00,0,0,0,0,0,0,0
0.801,0.00E+00,0,0,0,0,0,0,0
0.802,0.00E+00,0,0,0,0,0,0,0
0.803,0.00E+00,0,0,0,0,0,0,0
0.804,0.00E+00,0,0,0,0,0,0,0
0.805,0.00E+00,0,0,0,0,0,0,0
0.806,0.00E+00,0,0,0,0,0,0,0
0.807,0.00E+00,0,0,0,0,0,0,0
0.808,0.00E+00,0,0,0,0,0,0,0
0.809,0.00E+00,0,0,0,0,0,0,0
0.81,0.00E+00,0,0,0,0,0,0,0
0.811,0.00E+00,0,0,0,0,0,0,0
0.812,0.00E+00,0,0,0,0,0,0,0
0.813,0.00E+00,0,0,0,0,0,0,0
0.814,0.00E+00,0,0,0,0,0,0,0
0.815,0.00E+00,0,0,0,0,0,0,0
0.816,0.00E+00,0,0,0,0,0,0,0
0.817,0.00E+00,0,0,0,0,0,0,0
0.818,0.00E+00,0,0,0,0,0,0,0
0.819,0.00E+00,0,0,0,0,0,0,0
0.82,0.00E+00,0,0,0,0,0,0,0
0.821,0.00E+00,0,0,0,0,0,0,0
0.822,0.00E+00,0,0,0,0,0,0,0
0.823,0.00E+00,0,0,0,0,0,0,0
0.824,0.00E+00,0,0,0,0,0,0,0
0.825,0.00E+00,0,0,0,0,0,0,0
0.826,0.00E+00,0,0,0,0,0,0,0
0.827,0.00E+00,0,0,0,0,0,0,0
0.828,0.00E+00,0,0,0,0,0,0,0
0.829,0.00E+00,0,0,0,0,0,0,0
0.83,0.00E+00,0,0,0,0,0,0,0
0.831,0.00E+00,0,0,0,0.00009,0,0,0
0.832,0.00E+00,0,0,0,0.00016,0,0,0
0.833,0.00E+00,0,0,0,0.00028,0,0,0
0.834,0.00E+00,0,0,0,0.0004,0,0,0
0.835,0.00E+00,0,0,0,0.0006,0,0,0
0.836,0.00E+00,0,0,0,0.00084,0,0,0
0.837,0.00E+00,0,0,0,0.0012,0,0,0
0.838,0.00E+00,0,0,0,0.00173,0,0,0
0.839,0.00E+00,0,0,0,0.00256,0,0,0
0.84,0.00E+00,0,0,0,0.00388,0,0,0
0.841,0.00E+00,0,0,0,0.00578,0,0,0
0.842,0.00E+00,0,0,0,0.00878,0,0,0
0.843,0.00E+00,0,0,0,0.0138,0,0,0
0.844,0.00E+00,0,0,0,0.02225,0,0,0
0.845,0.00E+00,0,0,0,0.03726,0,0,0
0.846,0.00E+00,0,0,0,0.06446,0,0,0
0.847,0.00E+00,0,0,0,0.11185,0,0,0
0.848,0.00E+00,0,0,0,0.19233,0,0,0
0.849,0.00E+00,0,0,0,0.31894,0,0,0
0.85,0.00E+00,0,0,0,0.48412,0,0,0
0.851,0.00E+00,0,0,0,0.65571,0,0,0
0.852,0.00E+00,0,0,0,0.81041,0,0,0
0.853,0.00E+00,0,0,0,0.92177,0,0,0
0.854,0.00E+00,0,0,0,0.97219,0,0,0
0.855,0.00E+00,0,0,0,0.98067,0,0,0
0.856,0.00E+00,0,0,0,0.9765,0,0,0
0.857,0.00E+00,0,0,0,0.9876,0,0,0
0.858,0.00E+00,0,0,0,0.99786,0,0,0
0.859,0.00E+00,0,0,0,0.9954,0,0,0
0.86,0.00E+00,0,0,0,0.98572,0,0,0
0.861,0.00E+00,0,0,0,0.97858,0,0,0
0.862,0.00E+00,0,0,0,0.97418,0,0,0
0.863,0.00E+00,0,0,0,0.96543,0,0,0
0.864,0.00E+00,0,0,0,0.95459,0,0,0
0.865,0.00E+00,0,0,0,0.94934,0,0,0
0.866,0.00E+00,0,0,0,0.9498,0,0,0
0.867,0.00E+00,0,0,0,0.95242,0,0,0
0.868,0.00E+00,0,0,0,0.95015,0,0,0
0.869,0.00E+00,0,0,0,0.94468,0,0,0
0.87,0.00E+00,0,0,0,0.94484,0,0,0
0.871,0.00E+00,0,0,0,0.95308,0,0,0
0.872,0.00E+00,0,0,0,0.96075,0,0,0
0.873,0.00E+00,0,0,0,0.96797,0,0,0
0.874,0.00E+00,0,0,0,0.95488,0,0,0
0.875,0.00E+00,0,0,0,0.91611,0,0,0
0.876,0.00E+00,0,0,0,0.84502,0,0,0
0.877,0.00E+00,0,0,0,0.7197,0,0,0
0.878,0.00E+00,0,0,0,0.55118,0,0,0
0.879,0.00E+00,0,0,0,0.3766,0,0,0
0.88,0.00E+00,0,0,0,0.23744,0,0,0
0.881,0.00E+00,0,0,0,0.1412,0,0,0
0.882,0.00E+00,0,0,0,0.0814,0,0,0
0.883,0.00E+00,0,0,0,0.04759,0,0,0
0.884,0.00E+00,0,0,0,0.02832,0,0,0
0.885,0.00E+00,0,0,0,0.017,0,0,0
0.886,0.00E+00,0,0,0,0.01027,0,0,0
0.887,0.00E+00,0,0,0,0.0063,0,0,0
0.888,0.00E+00,0,0,0,0.00391,0,0,0
0.889,0.00E+00,0,0,0,0.00245,0,0,0
0.89,0.00E+00,0,0,0,0.00157,0,0,0
0.891,0.00E+00,0,0,0,0.00099,0,0,0
0.892,0.00E+00,0,0,0,0.0006,0,0,0
0.893,0.00E+00,0,0,0,0.00035,0,0,0
0.894,0.00E+00,0,0,0,0.00018,0,0,0
0.895,0.00E+00,0,0,0,0.0001,0,0,0
0.896,0.00E+00,0,0,0,0,0,0,0
0.897,0.00E+00,0,0,0,0,0,0,0
0.898,0.00E+00,0,0,0,0,0,0,0
0.899,0.00E+00,0,0,0,0,0,0,0
0.9,0.00E+00,0,0,0,0,0,0,0
0.901,0.00E+00,0,0,0,0,0,0,0
0.902,0.00E+00,0,0,0,0,0,0,0
0.903,0.00E+00,0,0,0,0,0,0,0
0.904,0.00E+00,0,0,0,0,0,0,0
0.905,0.00E+00,0,0,0,0,0,0,0
0.906,0.00E+00,0,0,0,0,0,0,0
0.907,0.00E+00,0,0,0,0,0,0,0
0.908,0.00E+00,0,0,0,0,0,0,0
0.909,0.00E+00,0,0,0,0,0,0,0
0.91,0.00E+00,0,0,0,0,0,0,0
0.911,0.00E+00,0,0,0,0,0,0,0
0.912,0.00E+00,0,0,0,0,0,0,0
0.913,0.00E+00,0,0,0,0,0,0,0
0.914,0.00E+00,0,0,0,0,0,0,0
0.915,0.00E+00,0,0,0,0,0,0,0
0.916,0.00E+00,0,0,0,0,0,0,0
0.917,0.00E+00,0,0,0,0,0,0,0
0.918,0.00E+00,0,0,0,0,0,0,0
0.919,0.00E+00,0,0,0,0,0,0,0
0.92,0.00E+00,0,0,0,0,0,0,0
0.921,0.00E+00,0,0,0,0,0,0,0
0.922,0.00E+00,0,0,0,0,0,0,0
0.923,0.00E+00,0,0,0,0,0,0,0
